CID,Name,log_vp,vp
7714,gamma-undecalactone ,-1.7683387994766235,0.01704751968188891
7725,p-tolyl aldehyde ,-0.6020599913279624,0.25
7731,p-cresyl methyl ether ,-0.38805529475212097,0.4092085556229979
7738,anis alcohol,-1.3391293287277222,0.04580054767703745
7749,ethyl propionate ,1.6020599913279623,39.99999999999999
7762,ethyl butyrate ,1.146128035678238,13.999999999999998
7770,propyl butyrate ,0.5542358756065369,3.5829098057434394
7778,citronellyl formate ,-1.681812047958374,0.020805969238074908
7792,tetrahydrogeraniol ,-1.4588584899902344,0.034764942067368555
7794,citronellal ,-0.7863689064979553,0.16354267366406325
7797,ethyl heptanoate ,-0.32423579692840576,0.47398456902223474
7799,ethyl octanoate,-0.7480083703994751,0.1786453143213662
7803,propyl propionate ,0.6847876906394958,4.839357327474257
7888,hydroxy citronellal ,-2.033057451248169,0.009267072245193462
7921,gamma-valerolactone ,-0.3010299956639812,0.5
7943,diethyl malonate ,-3.9113078117370605,0.00012265695762196327
7945,ethyl isovalerate ,0.7957959175109863,6.248789823289878
7983,butyl butyrate ,-0.020947646349668503,0.9529110293190575
8038,isobutyl acetate ,1.1131430843084342,12.97606715
8048,ethyl decanoate ,-1.9945869445800781,0.010125420203498232
8103,hexanol ,-0.0314813333612247,0.93007649
8129,heptanol ,-0.9488117703631599,0.11250925
8130,heptanal ,0.47712125471966244,3.0
8137,methyl octine carbonate ,-1.2672232389450073,0.054047643223105624
8163,methyl nonyl ketone ,-0.9413870573043823,0.11444924780238881
8164,octyl acetate ,-0.8097684979438782,0.1549642440625624
8174,decanol ,-2.1249028364149836,0.007500619999999999
8175,decanal ,-0.9871627752948278,0.10300000000000001
8186,undecanal ,-1.1891160011291504,0.06469697854397165
8187,10-undecenal ,-1.2018903493881226,0.06282169509223676
8193,lauryl alcohol ,-2.0109597513442803,0.009750799999999997
8194,dodecanal ,-1.441737413406372,0.036162844722792596
8294,linalyl acetate ,-2.3467517790351975,0.00450037
8363,benzyl salicylate,-4.107905397309519,7.800000000000007e-05
8365,ethyl salicylate,-2.052671194076538,0.008857859878020269
8369,maltol,-1.6852163076400757,0.020643517147712953
8432,styrallyl propionate ,-1.8952138423919678,0.01272876174801398
8438,heliotropine ,-2.0,0.01
8467,ethyl vanillin ,-4.982966660701219,1.0400000000000009e-05
8469,ethyl phenyl glycidate ,-1.9650077819824219,0.010839074916592566
8499,methyl anisate ,-2.2246203422546387,0.0059618309563220055
