,CID,Canonical_Name,Imax,vp_exp,predicted_log_vp,vp_source,log_vp
302,8791,BENZYL LAURATE,4.0,,-4.237582206726074,predicted,-4.237582206726074
303,8792,PHENETHYL ISOVALERATE,40.0,,-1.8362059593200684,predicted,-1.8362059593200684
304,8797,P-TOLYL ACETATE,43.0,,-0.7828317880630493,predicted,-0.7828317880630493
305,8815,ESTRAGOLE,54.0,,-0.8918328285217285,predicted,-0.8918328285217285
306,8834,CITRONELLYL PROPIONATE,35.0,,-1.9034048318862915,predicted,-1.9034048318862915
307,8835,CITRONELLYL BUTYRATE,50.0,,-2.5717203617095947,predicted,-2.5717203617095947
308,8842,CITRONELLOL 95,50.0,0.02,0.0,experimental,-1.6989700043360187
312,8857,ETHYL ACETATE,69.0,75.00616851,0.0,experimental,1.8750969812542744
316,8863,HYDROXYCITRONELLAL DIMETHYL ACETAL,24.0,,-2.9313719272613525,predicted,-2.9313719272613525
317,8868,ETHYL ACETOACETATE,46.5,0.75006169,0.0,experimental,-0.12490301590856831
319,8878,ALLYL HEPTANOATE,50.0,,-1.1764408349990845,predicted,-1.1764408349990845
320,8892,HEXANOIC ACID,80.0,0.20251665,0.0,experimental,-0.6935392652598539
321,8908,HEXYL ACETATE,41.0,1.32,0.0,experimental,0.12057393120584989
323,9016,"1,4 DIMETHOXYBENZENE",42.0,,-0.8328977823257446,predicted,-0.8328977823257446
324,9024,DIMETHYL CARBINYL BENZYL ACETATE,52.0,,-1.5400280952453613,predicted,-1.5400280952453613
325,9256,THIAZOLE,82.0,,1.6107096672058105,predicted,1.6107096672058105
326,9261,PYRAZINE,47.5,,1.938439965248108,predicted,1.938439965248108
327,9473,PIPERONYL ACETATE,40.0,,-2.2289233207702637,predicted,-2.2289233207702637
328,9589,3 ACETYL PYRIDINE,45.0,,-0.5278635025024414,predicted,-0.5278635025024414
329,9609,DIETHYL SULFIDE,100.0,60.2,0.0,experimental,1.7795964912578246
330,10106,"1,4-CINEOLE",59.0,,-0.10490474849939346,predicted,-0.10490474849939346
331,10285,METHYL QUINOLINE,56.0,0.0064,0.0,experimental,-2.193820026016113
332,10315,BUTYROPHENONE,32.0,,-0.85029536485672,predicted,-0.85029536485672
333,10353,DIHYRDOTERPINEOL,52.5,,-1.3164482116699219,predicted,-1.3164482116699219
334,10364,CARVACROL,61.0,,-1.4453579187393188,predicted,-1.4453579187393188
335,10400,CYCLOHEPTANONE,52.0,,-0.3885520398616791,predicted,-0.3885520398616791
